Title,URLs,Categories
"अकरकरा (आकारकरभ)",http://52.66.50.41/2018/07/23/akarkara/,Uncategorized
अखरोट,http://52.66.50.41/2018/07/24/walnut/,Uncategorized
अगरु,http://52.66.50.41/2018/07/24/agaru/,Uncategorized
अगस्त,http://52.66.50.41/2018/07/24/agast/,Uncategorized
अंगूर,http://52.66.50.41/2018/07/23/angoor/,Uncategorized
"अग्नितुण्डी वटी",http://52.66.50.41/2018/07/25/agnitundi-vati/,Uncategorized
अजमोदा,http://52.66.50.41/2018/07/24/ajmoda/,Uncategorized
"अजमोदादि चूर्ण",http://52.66.50.41/2018/08/02/ajmodadi-churna/,Uncategorized
"अजवाइन खुरासानी",http://52.66.50.41/2018/07/24/ajwain-khurasani/,Uncategorized
अज़वायन,http://52.66.50.41/2018/07/24/ajwain/,Uncategorized
अंजीर,http://52.66.50.41/2018/07/23/anjeer/,Uncategorized
अतिबला,http://52.66.50.41/2018/07/25/atibala/,Uncategorized
"अतिसार (दस्त) के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/07/diet-plan-for-diarhoea-loose-motion/,Uncategorized
अतीस,http://52.66.50.41/2018/07/24/atees/,Uncategorized
अधपुष्पी,http://52.66.50.41/2018/07/24/adhpushpi/,Uncategorized
अनानास,http://52.66.50.41/2018/07/24/pineapple/,Uncategorized
अनार,http://52.66.50.41/2018/07/24/anar/,Uncategorized
अपराजिता,http://52.66.50.41/2018/07/24/aprajita/,Uncategorized
अपामार्ग,http://52.66.50.41/2018/07/24/apamarg/,Uncategorized
"अभयारिष्ट (अर्श)",http://52.66.50.41/2018/08/02/abhayarishta/,Uncategorized
अमरबेल,http://52.66.50.41/2018/07/24/amarbel/,Uncategorized
अमरूद,http://52.66.50.41/2018/07/24/amrud/,Uncategorized
अमलतास,http://52.66.50.41/2018/07/24/amaltas/,Uncategorized
"अम्ल पित्त के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/07/diet-plan-for-acidity/,Uncategorized
"अरणी बड़ी",http://52.66.50.41/2018/07/24/aradi-badi/,Uncategorized
अरलु,http://52.66.50.41/2018/07/24/aralu/,Uncategorized
"अरारूट (तीखुर भेद)",http://52.66.50.41/2018/07/24/ararut/,Uncategorized
अर्जुन,http://52.66.50.41/2018/07/24/arjun/,Uncategorized
"अर्श के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/07/diet-plan-for-piles/,Uncategorized
"अर्शोघ्नी वटी",http://52.66.50.41/2018/07/25/arshoghni-vati/,Uncategorized
अलसी,http://52.66.50.41/2018/07/24/alsi/,Uncategorized
"अवटुग्रथि शोथ (थायरॉइड) के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/07/diet-plan-for-thyroid-gland-disorder/,Uncategorized
अशोक,http://52.66.50.41/2018/07/23/ashok/,Uncategorized
"अश्वगन्धा (असगंध)",http://52.66.50.41/2018/07/24/ashwagandha/,Uncategorized
अस्थिसंहार,http://52.66.50.41/2018/07/25/asthisanhar/,Uncategorized
आक,http://52.66.50.41/2018/07/24/aak/,Uncategorized
आम,http://52.66.50.41/2018/07/23/mango/,Uncategorized
"आमवात  के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/07/diet-plan-for-rheumatoid-arthritis/,Uncategorized
"आमा हल्दी",http://52.66.50.41/2018/07/25/aama-haldi/,Uncategorized
आम्रातक,http://52.66.50.41/2018/07/24/aamratak/,Uncategorized
"आयुर्वेद का महत्व",http://52.66.50.41/2018/08/02/asr-what-ayurveda-signifies/,Uncategorized
"आयुर्वेद चिकित्सा के विषय क्षेत्र एवं विविध अंग (अष्टांग आयुर्वेद)",http://52.66.50.41/2018/08/02/asr-ayurveda-diversifed-areas-and-eight-branches/,Uncategorized
"आयुर्वेदिक चिकित्सा पद्धति के मुख्य लक्ष्य",http://52.66.50.41/2018/08/02/asr-primary-goals-of-ayurvedic-treatment/,Uncategorized
"आयुर्वेदीय चिकित्सा की विशेषताएँ",http://52.66.50.41/2018/08/02/asr-unique-features-of-ayurvedic-treatment/,Uncategorized
"आरुक (आडू)",http://52.66.50.41/2018/07/23/aaruk-aadu/,Uncategorized
"आरोग्यवर्धिनी वटी",http://52.66.50.41/2018/07/26/arogyavardhini-vati/,Uncategorized
आर्तगल,http://52.66.50.41/2018/07/24/aartgal/,Uncategorized
"आलुकी (अरबी)",http://52.66.50.41/2018/07/24/arbi/,Uncategorized
आलू,http://52.66.50.41/2018/07/24/potato/,Uncategorized
आलूबुखारा,http://52.66.50.41/2018/07/24/aloo-bukhara/,Uncategorized
आवर्तनी,http://52.66.50.41/2018/07/25/aawartani/,Uncategorized
आँवला,http://52.66.50.41/2018/07/24/amla/,Uncategorized
इन्द्रायण,http://52.66.50.41/2018/07/24/indrayan/,Uncategorized
इमली,http://52.66.50.41/2018/07/24/%e0%a4%87%e0%a4%ae%e0%a4%b2%e0%a5%80/,Uncategorized
"इलायची बड़ी",http://52.66.50.41/2018/07/23/badi-elaichi/,Uncategorized
"ई. एन. टी. के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/07/diet-plan-for-ent/,Uncategorized
ईसबगोल,http://52.66.50.41/2018/07/23/isabgol/,Uncategorized
"उटंगन (उष्ट्रकाण्डी)",http://52.66.50.41/2018/07/23/utangan/,Uncategorized
"उड़द (माष)",http://52.66.50.41/2018/07/23/urad/,Uncategorized
उत्कण्टक,http://52.66.50.41/2018/07/23/utkantak/,Uncategorized
उन्नाव,http://52.66.50.41/2018/07/25/unnao/,Uncategorized
उलटकम्बल,http://52.66.50.41/2018/07/23/ulatkambal/,Uncategorized
उस्तूखूदूस,http://52.66.50.41/2018/07/23/ustukhudus/,Uncategorized
एरण्ड,http://52.66.50.41/2018/07/23/arand/,Uncategorized
एर्वारु,http://52.66.50.41/2018/07/23/erwaru/,Uncategorized
"एला  (इलायची छोटी)",http://52.66.50.41/2018/07/23/choti-elaichi/,Uncategorized
"एलादि गुटिका (रक्तपित्त)",http://52.66.50.41/2018/07/26/eladi-gutika-raktapitt/,Uncategorized
"ऑटो इम्यून के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/07/diet-plan-for-autoimmune-disorders-multiple-sclerosis/,Uncategorized
कंचट,http://52.66.50.41/2018/07/24/kanchat/,Uncategorized
कचनार,http://52.66.50.41/2018/07/23/kachnar/,Uncategorized
कटहल,http://52.66.50.41/2018/07/23/kathal/,Uncategorized
कटेरी,http://52.66.50.41/2018/07/23/kateri/,Uncategorized
"कट्फल (काफल)",http://52.66.50.41/2018/07/23/kaafal/,Uncategorized
"कण्डू /खुजली के लिए आहार दिनचर्या",http://52.66.50.41/?p=1174,Uncategorized
कदम्ब,http://52.66.50.41/2018/07/23/kadamb/,Uncategorized
"कदली (केला)",http://52.66.50.41/2018/07/24/banana-tree/,Uncategorized
"कनेर (पीत करवीर)",http://52.66.50.41/2018/07/23/kaner-peet-karweer/,Uncategorized
कपास,http://52.66.50.41/2018/07/23/kapas/,Uncategorized
कपित्थ,http://52.66.50.41/2018/07/24/kapittha/,Uncategorized
"कफ प्रधान प्रकृति के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-kapha/,Uncategorized
कमरख,http://52.66.50.41/2018/07/23/kamrakh/,Uncategorized
कमल,http://52.66.50.41/2018/07/23/kamal/,Uncategorized
कम्पिल्लक,http://52.66.50.41/2018/07/23/kampillak/,Uncategorized
करंज,http://52.66.50.41/2018/07/23/karanj/,Uncategorized
"करंज (पूतिकरंज)",http://52.66.50.41/2018/07/23/karanj-putikaranj/,Uncategorized
"करमर्द (करौंदा)",http://52.66.50.41/2018/07/23/karounda/,Uncategorized
"करवीर (श्वेत/लाल)",http://52.66.50.41/2018/07/23/karweer/,Uncategorized
करेला,http://52.66.50.41/2018/07/23/karela/,Uncategorized
कर्कटशृंगी,http://52.66.50.41/2018/07/23/karkatshringi/,Uncategorized
कर्कोटकी,http://52.66.50.41/2018/07/23/karkotaki/,Uncategorized
कर्चूर,http://52.66.50.41/2018/07/23/karchur/,Uncategorized
कर्पूर,http://52.66.50.41/2018/07/23/camphor/,Uncategorized
कलम्बी,http://52.66.50.41/2018/07/23/kalambi/,Uncategorized
"कलिहारी (लांगली)",http://52.66.50.41/2018/07/25/kalihari-langali/,Uncategorized
कसौंदी,http://52.66.50.41/2018/07/23/kasoundi/,Uncategorized
"कस्तूर्यादि गुटिका",http://52.66.50.41/2018/07/26/kasturyadi-gutika/,Uncategorized
काकजंघा,http://52.66.50.41/2018/07/23/kakjangha/,Uncategorized
"कांकायन गुटिका (गुल्म)",http://52.66.50.41/2018/07/26/kankayan-gutika/,Uncategorized
काकोदुम्बर,http://52.66.50.41/2018/07/24/kokodumbar/,Uncategorized
काजू,http://52.66.50.41/2018/07/23/cashew/,Uncategorized
"काण्डीर (जलधनिया)",http://52.66.50.41/2018/07/23/kaandeer/,Uncategorized
काश,http://52.66.50.41/2018/07/23/kash/,Uncategorized
कासनी,http://52.66.50.41/2018/07/23/kasani/,Uncategorized
"किडनी /गॉलब्लेडर स्टॉन के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-kidney-stone/,Uncategorized
कुकुन्दर,http://52.66.50.41/2018/07/23/kukundar/,Uncategorized
कुटकी,http://52.66.50.41/2018/07/23/kutki/,Uncategorized
कुटज,http://52.66.50.41/2018/07/23/kutaj/,Uncategorized
"कुटजघन वटी",http://52.66.50.41/2018/07/26/kutaj-ghan-vati/,Uncategorized
कुठिञ्जर,http://52.66.50.41/2018/07/23/kuthijjar/,Uncategorized
कुरी,http://52.66.50.41/2018/07/25/kuri/,Uncategorized
कुलत्थ,http://52.66.50.41/2018/07/23/kulattha/,Uncategorized
कुश,http://52.66.50.41/2018/07/23/kush/,Uncategorized
"कूजा (जंगली गुलाब)",http://52.66.50.41/2018/07/23/kuja/,Uncategorized
"कूठ (कुष्ठ)",http://52.66.50.41/2018/07/23/kooth/,Uncategorized
कूष्माण्ड,http://52.66.50.41/2018/07/24/kushmaand/,Uncategorized
कृष्णबीज,http://52.66.50.41/2018/07/23/krishnabeej/,Uncategorized
कृष्णसारिवा,http://52.66.50.41/2018/07/25/krishnasariva/,Uncategorized
केमुक,http://52.66.50.41/2018/07/24/kemuk/,Uncategorized
"केवाँच (कपिकच्छू)",http://52.66.50.41/2018/07/24/kevanch/,Uncategorized
केशर,http://52.66.50.41/2018/07/23/kesar/,Uncategorized
"कैडर्य  (मीठी नीम)",http://52.66.50.41/2018/07/24/kaidarya/,Uncategorized
"कैंसर के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-cancer/,Uncategorized
कॉफी,http://52.66.50.41/2018/07/23/coffee/,Uncategorized
कोकिलाक्ष,http://52.66.50.41/2018/07/24/kokilaksha/,Uncategorized
कोद्रव,http://52.66.50.41/2018/07/24/kodrav/,Uncategorized
"क्षार वटी",http://52.66.50.41/2018/07/26/chhar-vati/,Uncategorized
"क्षीर चम्पा",http://52.66.50.41/2018/07/24/ksheer-champa/,Uncategorized
खदिर,http://52.66.50.41/2018/07/24/khadir/,Uncategorized
"खदिरादि वटी (मुखरोग)",http://52.66.50.41/2018/07/26/khadiradi-vati/,Uncategorized
खरबूज,http://52.66.50.41/2018/07/24/kharbooj/,Uncategorized
खर्जूर,http://52.66.50.41/2018/07/24/kharjoor/,Uncategorized
खर्जूरी,http://52.66.50.41/2018/07/24/kharjuri/,Uncategorized
खस,http://52.66.50.41/2018/07/24/khus/,Uncategorized
खीरा,http://52.66.50.41/2018/07/24/kheera/,Uncategorized
खुबानी,http://52.66.50.41/2018/07/23/khubani/,Uncategorized
खेसारी,http://52.66.50.41/2018/07/24/khesari/,Uncategorized
"गंजापन के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-baldness/,Uncategorized
"गन्धक वटी (अग्निमाद्य)",http://52.66.50.41/2018/07/26/gandhak-vati/,Uncategorized
गन्ना,http://52.66.50.41/2018/07/24/sugar-cane/,Uncategorized
गंभारी,http://52.66.50.41/2018/07/24/gambhari/,Uncategorized
"गर्भणी की मासानुमासिक परिचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-pregnancy/,Uncategorized
"गवेधुका  (वैजन्ती)",http://52.66.50.41/2018/07/24/gavedhuka/,Uncategorized
गाजर,http://52.66.50.41/2018/07/24/carrot/,Uncategorized
गिलोय,http://52.66.50.41/2018/07/24/giloy/,Uncategorized
गुग्गुलु,http://52.66.50.41/2018/07/24/guggul/,Uncategorized
गुञ्जा,http://52.66.50.41/2018/07/24/gunja/,Uncategorized
गुड़हल,http://52.66.50.41/2018/07/24/gudhal/,Uncategorized
गुलदाऊदी,http://52.66.50.41/2018/07/24/guldaudi/,Uncategorized
गुलब्बास,http://52.66.50.41/2018/07/24/gulabbas/,Uncategorized
गुलमोहर,http://52.66.50.41/2018/07/24/gulmohar/,Uncategorized
गूलर,http://52.66.50.41/2018/07/24/gular/,Uncategorized
गृध्रनखी,http://52.66.50.41/2018/07/24/gridhranakhi/,Uncategorized
गेंदा,http://52.66.50.41/2018/07/24/genda/,Uncategorized
"गेहूं से एलर्जी (बच्चों  के लिए) आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-celiac-disease/,Uncategorized
"गोखरू छोटा",http://52.66.50.41/2018/07/24/gokhru/,Uncategorized
"गोखरू बड़ा",http://52.66.50.41/2018/07/24/gokhru-bada/,Uncategorized
"गोधूम (गेहूं)",http://52.66.50.41/2018/07/24/wheat/,Uncategorized
"गोपशिम्बी (ग्वारफली)",http://52.66.50.41/2018/07/24/gavarfali/,Uncategorized
गोभी,http://52.66.50.41/2018/07/24/gobhi/,Uncategorized
गोरक्ष,http://52.66.50.41/2018/07/24/goraksha/,Uncategorized
गोरक्षगंजा,http://52.66.50.41/2018/07/24/gorakshaganja/,Uncategorized
"गोरक्षी (गोरख इमली)",http://52.66.50.41/2018/07/24/gorakshi/,Uncategorized
गोरखमुण्डी,http://52.66.50.41/2018/07/25/gorakhmundi/,Uncategorized
ग्रन्थिपर्णी,http://52.66.50.41/2018/07/24/granthiparni/,Uncategorized
घृतकुमारी,http://52.66.50.41/2018/07/24/aloe-vera/,Uncategorized
"चणक (चना)",http://52.66.50.41/2018/07/24/chanak-chana/,Uncategorized
"चद्रप्रभा वटी (प्रमेह)",http://52.66.50.41/2018/07/26/chandraprabha-vati/,Uncategorized
चंद्रशूर,http://52.66.50.41/2018/07/24/chandrashur/,Uncategorized
चन्दन,http://52.66.50.41/2018/07/24/chandan/,Uncategorized
चमेली,http://52.66.50.41/2018/07/24/chameli/,Uncategorized
चम्पा,http://52.66.50.41/2018/07/24/champa/,Uncategorized
चव्य,http://52.66.50.41/2018/07/24/chavya/,Uncategorized
चांगेरी,http://52.66.50.41/2018/07/24/chaangeri/,Uncategorized
चांदनी,http://52.66.50.41/2018/07/24/chandani/,Uncategorized
चाय,http://52.66.50.41/2018/07/24/tea/,Uncategorized
"चावल (तण्डुल)",http://52.66.50.41/2018/07/24/rice/,Uncategorized
चिचिण्डा,http://52.66.50.41/2018/07/25/chichinda/,Uncategorized
चित्रक,http://52.66.50.41/2018/07/24/chitrak/,Uncategorized
"चित्रकादि वटी (ग्रहणी)",http://52.66.50.41/2018/07/26/chitrakadi-vati/,Uncategorized
"चिरबिल्व (चिलबिल)",http://52.66.50.41/2018/07/24/chilbil/,Uncategorized
चिरायता,http://52.66.50.41/2018/07/24/chirayta/,Uncategorized
चिरौंजी,http://52.66.50.41/2018/07/24/chirounji/,Uncategorized
चिल्ग़ोज़ा,http://52.66.50.41/2018/07/24/chilgoza/,Uncategorized
चीकू,http://52.66.50.41/2018/07/24/chiku/,Uncategorized
चीड़,http://52.66.50.41/2018/07/24/cheed/,Uncategorized
चुकन्दर,http://52.66.50.41/2018/07/24/chukandar/,Uncategorized
चुक्रिका,http://52.66.50.41/2018/07/24/chukrika/,Uncategorized
चोपचीनी,http://52.66.50.41/2018/07/24/chopchini/,Uncategorized
चोरक,http://52.66.50.41/2018/07/24/chorak/,Uncategorized
"चौलाई (मरसा)",http://52.66.50.41/2018/07/24/choulai-marsa/,Uncategorized
छरीला,http://52.66.50.41/2018/07/25/chhareela/,Uncategorized
"छोटी अरणी",http://52.66.50.41/2018/07/24/choti-aradi/,Uncategorized
"जंगली प्याज",http://52.66.50.41/2018/07/24/jangali-pyaj/,Uncategorized
"जंगली बादाम",http://52.66.50.41/2018/07/25/jangli-badam/,Uncategorized
जटामांसी,http://52.66.50.41/2018/07/24/jatamansi/,Uncategorized
जयंती,http://52.66.50.41/2018/07/24/jayanti/,Uncategorized
"जल पिप्पली",http://52.66.50.41/2018/07/24/jal-pippali/,Uncategorized
जामुन,http://52.66.50.41/2018/07/24/jamun/,Uncategorized
जायफल,http://52.66.50.41/2018/07/24/jaifal/,Uncategorized
जीरा,http://52.66.50.41/2018/07/24/jeera/,Uncategorized
जीवन्ती,http://52.66.50.41/2018/07/24/jeewanti/,Uncategorized
जूफा,http://52.66.50.41/2018/07/24/jufa/,Uncategorized
"जूर्ण (ज्वार)",http://52.66.50.41/2018/07/24/jwar/,Uncategorized
जूही,http://52.66.50.41/2018/07/24/juhi/,Uncategorized
जैतून,http://52.66.50.41/2018/07/24/jaitun/,Uncategorized
"जौ (यव)",http://52.66.50.41/2018/07/24/barley/,Uncategorized
ज्योतिष्मती,http://52.66.50.41/2018/07/25/jyotishmati/,Uncategorized
"ज्वर के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-fever/,Uncategorized
टमाटर,http://52.66.50.41/2018/07/24/tamatar/,Uncategorized
"डिण्डिश (टिंडा)",http://52.66.50.41/2018/07/24/tinda/,Uncategorized
"डेंगू के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-dengue/,Uncategorized
तगर,http://52.66.50.41/2018/07/24/tagar/,Uncategorized
"तण्डुलीय (चौलाई)",http://52.66.50.41/2018/07/24/tanduleey-choulai/,Uncategorized
"तरबूज (कालिन्द)",http://52.66.50.41/2018/07/24/tarbuj/,Uncategorized
"तरुणी (गुलाब)",http://52.66.50.41/2018/07/24/gulab/,Uncategorized
ताड़,http://52.66.50.41/2018/07/24/taad/,Uncategorized
"ताम्रपर्ण (तंबाकू)",http://52.66.50.41/2018/07/24/tobacco/,Uncategorized
तालीसपत्र,http://52.66.50.41/2018/07/24/taleespatra/,Uncategorized
तिंदुक,http://52.66.50.41/2018/07/24/tinduk/,Uncategorized
"तिधारा सेंहुड",http://52.66.50.41/2018/07/24/tidhara-sehund/,Uncategorized
तिनिश,http://52.66.50.41/2018/07/24/tinish/,Uncategorized
तिन्तिडीक,http://52.66.50.41/2018/07/24/tintideek/,Uncategorized
तिल,http://52.66.50.41/2018/07/24/til/,Uncategorized
तीखुर,http://52.66.50.41/2018/07/24/teekhur/,Uncategorized
तुलसी,http://52.66.50.41/2018/07/24/tulsi/,Uncategorized
"तुलसी -बर्बरी",http://52.66.50.41/2018/07/24/tulsi-barbari/,Uncategorized
"तुवरक (चालमोगरा)",http://52.66.50.41/2018/07/24/tuvrak/,Uncategorized
तूत,http://52.66.50.41/2018/07/24/toot/,Uncategorized
तूतमलंगा,http://52.66.50.41/2018/07/24/tootmalanga/,Uncategorized
"तून (तूणी)",http://52.66.50.41/2018/07/24/toon/,Uncategorized
तेजपात,http://52.66.50.41/2018/07/24/tejpat/,Uncategorized
"तेजोवती (तुम्बरू)",http://52.66.50.41/2018/07/24/tejowati/,Uncategorized
तोदरी,http://52.66.50.41/2018/07/24/todari/,Uncategorized
तोरई,http://52.66.50.41/2018/07/24/torai/,Uncategorized
त्रिकोशकी,http://52.66.50.41/2018/07/25/trikoshki/,Uncategorized
"त्वक विकार के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-skin-disorder/,Uncategorized
दन्ती,http://52.66.50.41/2018/07/24/danti/,Uncategorized
दमनक,http://52.66.50.41/2018/07/24/damnak/,Uncategorized
दर्भ,http://52.66.50.41/2018/07/24/darbh/,Uncategorized
दारुहरिद्रा,http://52.66.50.41/2018/07/24/daruharidra/,Uncategorized
दालचीनी,http://52.66.50.41/2018/07/24/dalchini/,Uncategorized
"दुग्धिका (बड़ी)",http://52.66.50.41/2018/07/24/dugdhika-badi/,Uncategorized
"दूधी (छोटी)",http://52.66.50.41/2018/07/24/doodhi-choti/,Uncategorized
दूब,http://52.66.50.41/2018/07/24/doob/,Uncategorized
देवदारु,http://52.66.50.41/2018/07/24/devdaru/,Uncategorized
देवदाली,http://52.66.50.41/2018/07/24/devdali/,Uncategorized
"द्राक्षादि गुटिका (अम्लपित्त)",http://52.66.50.41/2018/07/26/drakshadi-gutika/,Uncategorized
द्रोणपुष्पी,http://52.66.50.41/2018/07/24/dronpushpi/,Uncategorized
धतूरा,http://52.66.50.41/2018/07/24/dhatura/,Uncategorized
धनिया,http://52.66.50.41/2018/07/24/dhaniya/,Uncategorized
धमासा,http://52.66.50.41/2018/07/24/dhamasa/,Uncategorized
धातकी,http://52.66.50.41/2018/07/24/dhataki/,Uncategorized
"धान्वन्तर गुटिका",http://52.66.50.41/2018/07/26/dhanvantara-gutika/,Uncategorized
"धामार्गव (घियातोरई)",http://52.66.50.41/2018/07/24/ghiyatorai/,Uncategorized
नकछिकनी,http://52.66.50.41/2018/07/24/nakchhikni/,Uncategorized
नल,http://52.66.50.41/2018/07/24/nal/,Uncategorized
नाकुली,http://52.66.50.41/2018/07/24/naakuli/,Uncategorized
नागकेसर,http://52.66.50.41/2018/07/24/nagkesar/,Uncategorized
नागफनी,http://52.66.50.41/2018/07/24/nagfani/,Uncategorized
नागबला,http://52.66.50.41/2018/07/25/naagbala/,Uncategorized
नागरमोथा,http://52.66.50.41/2018/07/24/nagarmotha/,Uncategorized
नारंगी,http://52.66.50.41/2018/07/24/narangi/,Uncategorized
नारियल,http://52.66.50.41/2018/07/24/coconut/,Uncategorized
नाशपाती,http://52.66.50.41/2018/07/24/nashpati/,Uncategorized
निर्गुण्डी,http://52.66.50.41/2018/07/24/nirgundi/,Uncategorized
निर्मली,http://52.66.50.41/2018/07/23/nirmali/,Uncategorized
"निशोथ (त्रिवृत्)",http://52.66.50.41/2018/07/24/nishoth/,Uncategorized
नींबू,http://52.66.50.41/2018/07/24/nimbu/,Uncategorized
"नींबू जम्बीरी",http://52.66.50.41/2018/07/24/nimbu-jambiri/,Uncategorized
"नींबू बिजौरा",http://52.66.50.41/2018/07/24/nimbu-bijoura/,Uncategorized
नीम,http://52.66.50.41/2018/07/24/neem/,Uncategorized
नील,http://52.66.50.41/2018/07/24/neel/,Uncategorized
"नील शंखपुष्पी  (विष्णुक्रान्ता)",http://52.66.50.41/2018/07/25/neel-shankhpushpi/,Uncategorized
पटेर,http://52.66.50.41/2018/07/24/pater/,Uncategorized
पट्टशाक,http://52.66.50.41/2018/07/24/pattashaak/,Uncategorized
पपीता,http://52.66.50.41/2018/07/24/papaya/,Uncategorized
"परदेशी लांगली",http://52.66.50.41/2018/07/24/pardeshi-langali/,Uncategorized
"परवल (पटोल)",http://52.66.50.41/2018/07/24/parwal/,Uncategorized
पर्णबीज,http://52.66.50.41/2018/07/24/parnabeej/,Uncategorized
पलाश,http://52.66.50.41/2018/07/24/palash/,Uncategorized
"पवाँड (चक्रमर्द)",http://52.66.50.41/2018/07/24/pavaand/,Uncategorized
पाटला,http://52.66.50.41/2018/07/24/patala/,Uncategorized
पाठा,http://52.66.50.41/2018/07/24/patha/,Uncategorized
पातालगरुड़ी,http://52.66.50.41/2018/07/24/patalgarudi/,Uncategorized
पान,http://52.66.50.41/2018/07/24/paan/,Uncategorized
पारिजात,http://52.66.50.41/2018/07/25/parijat/,Uncategorized
"पार्किंसन के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-parkinsons/,Uncategorized
"पालक  ",http://52.66.50.41/2018/07/24/palak/,Uncategorized
"पाषाण भेद",http://52.66.50.41/2018/07/24/pashaan-bhed/,Uncategorized
पिठवन,http://52.66.50.41/2018/07/24/pithwan/,Uncategorized
"पित्त प्रधान प्रकृति के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-pitta/,Uncategorized
पित्तपापड़ा,http://52.66.50.41/2018/07/24/pittapapda/,Uncategorized
पिपरमिंट,http://52.66.50.41/2018/07/24/peppermint/,Uncategorized
पिप्पली,http://52.66.50.41/2018/07/24/pippali/,Uncategorized
"पियारांगा (पीतरंगा)",http://52.66.50.41/2018/07/24/piyaraanga/,Uncategorized
पिस्ता,http://52.66.50.41/2018/07/24/pista/,Uncategorized
पीतकूष्माण्ड,http://52.66.50.41/2018/07/24/peetkushmaand/,Uncategorized
पीपल,http://52.66.50.41/2018/07/24/peepal/,Uncategorized
पीलु,http://52.66.50.41/2018/07/24/peelu/,Uncategorized
पुत्रजीवक,http://52.66.50.41/2018/07/24/putrajeevak/,Uncategorized
"पुदीना (पूतिहा)",http://52.66.50.41/2018/07/24/pudina/,Uncategorized
