Title,URLs
"आरोग्यवर्धिनी वटी",http://52.66.50.41/2018/07/26/arogyavardhini-vati/,
आर्तगल,http://52.66.50.41/2018/07/24/aartgal/,
"आलुकी (अरबी)",http://52.66.50.41/2018/07/24/arbi/,
आलू,http://52.66.50.41/2018/07/24/potato/,
आलूबुखारा,http://52.66.50.41/2018/07/24/aloo-bukhara/,
आवर्तनी,http://52.66.50.41/2018/07/25/aawartani/,
आँवला,http://52.66.50.41/2018/07/24/amla/,
"आसनोपयोगी नियम",http://52.66.50.41/2018/08/10/yogaaasnopyogi-niyam/,
इन्द्रायण,http://52.66.50.41/2018/07/24/indrayan/,
इमली,http://52.66.50.41/2018/07/24/%e0%a4%87%e0%a4%ae%e0%a4%b2%e0%a5%80/,
"इलायची बड़ी",http://52.66.50.41/2018/07/23/badi-elaichi/,
"ई. एन. टी. के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/07/diet-plan-for-ent/,
ईसबगोल,http://52.66.50.41/2018/07/23/isabgol/,
"उच्च रक्तचाप (हाई ब्लड प्रेशर) के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/uchh-raktchap-high-blood-pressure-ke-liye-gharule-nuskhe/,
"उटंगन (उष्ट्रकाण्डी)",http://52.66.50.41/2018/07/23/utangan/,
"उड़द (माष)",http://52.66.50.41/2018/07/23/urad/,
उत्कण्टक,http://52.66.50.41/2018/07/23/utkantak/,
"उदर रोग, मधुमेह, मोटापा के लिए मुख्य आसन",http://52.66.50.41/2018/08/12/yogaudar-rog-madhumeh-motapa-ke-liye-mukhya-asan/,
उन्नाव,http://52.66.50.41/2018/07/25/unnao/,
उलटकम्बल,http://52.66.50.41/2018/07/23/ulatkambal/,
"उल्टी (वोमिटिंग) के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/ulti-vomiting-ke-liye-gharule-nuskhe/,
उस्तूखूदूस,http://52.66.50.41/2018/07/23/ustukhudus/,
"एक्जिमा (खुजली) के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/eczema-khujli-ke-liye-gharule-nuskhe/,
एरण्ड,http://52.66.50.41/2018/07/23/arand/,
एर्वारु,http://52.66.50.41/2018/07/23/erwaru/,
"एला  (इलायची छोटी)",http://52.66.50.41/2018/07/23/choti-elaichi/,
"एलादि गुटिका (रक्तपित्त)",http://52.66.50.41/2018/07/26/eladi-gutika-raktapitt/,
"एसिडिटी (पेट की गैस) के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/acidity-pet-ki-gas-ke-liye-gharule-nuskhe/,
"ऑटो इम्यून के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/07/diet-plan-for-autoimmune-disorders-multiple-sclerosis/,
"ऑयली स्कीन (तैलीय त्वचा) के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/oily-skin-teliye-twacha-ke-liye-gharelu-nuskhe/,
कंचट,http://52.66.50.41/2018/07/24/kanchat/,
कचनार,http://52.66.50.41/2018/07/23/kachnar/,
कटहल,http://52.66.50.41/2018/07/23/kathal/,
कटेरी,http://52.66.50.41/2018/07/23/kateri/,
"कट्फल (काफल)",http://52.66.50.41/2018/07/23/kaafal/,
"कण्डू /खुजली के लिए आहार दिनचर्या",http://52.66.50.41/?p=1174,
कदम्ब,http://52.66.50.41/2018/07/23/kadamb/,
"कदली (केला)",http://52.66.50.41/2018/07/24/banana-tree/,
"कनेर (पीत करवीर)",http://52.66.50.41/2018/07/23/kaner-peet-karweer/,
कपास,http://52.66.50.41/2018/07/23/kapas/,
कपित्थ,http://52.66.50.41/2018/07/24/kapittha/,
"कफ प्रधान प्रकृति के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-kapha/,
"कब्ज (कॉन्स्टिपेशन) के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/kabj-constipation-ke-liye-gharule-nuskhe/,
कमरख,http://52.66.50.41/2018/07/23/kamrakh/,
कमल,http://52.66.50.41/2018/07/23/kamal/,
कम्पिल्लक,http://52.66.50.41/2018/07/23/kampillak/,
करंज,http://52.66.50.41/2018/07/23/karanj/,
"करंज (पूतिकरंज)",http://52.66.50.41/2018/07/23/karanj-putikaranj/,
"करमर्द (करौंदा)",http://52.66.50.41/2018/07/23/karounda/,
"करवीर (श्वेत/लाल)",http://52.66.50.41/2018/07/23/karweer/,
करेला,http://52.66.50.41/2018/07/23/karela/,
कर्कटशृंगी,http://52.66.50.41/2018/07/23/karkatshringi/,
कर्कोटकी,http://52.66.50.41/2018/07/23/karkotaki/,
कर्चूर,http://52.66.50.41/2018/07/23/karchur/,
कर्पूर,http://52.66.50.41/2018/07/23/camphor/,
कलम्बी,http://52.66.50.41/2018/07/23/kalambi/,
"कलिहारी (लांगली)",http://52.66.50.41/2018/07/25/kalihari-langali/,
कसौंदी,http://52.66.50.41/2018/07/23/kasoundi/,
"कस्तूर्यादि गुटिका",http://52.66.50.41/2018/07/26/kasturyadi-gutika/,
काकजंघा,http://52.66.50.41/2018/07/23/kakjangha/,
"कांकायन गुटिका (गुल्म)",http://52.66.50.41/2018/07/26/kankayan-gutika/,
काकोदुम्बर,http://52.66.50.41/2018/07/24/kokodumbar/,
काजू,http://52.66.50.41/2018/07/23/cashew/,
"काण्डीर (जलधनिया)",http://52.66.50.41/2018/07/23/kaandeer/,
"कान दर्द (ear pain) में घरेलु नुस्खे",http://52.66.50.41/2018/08/12/kan-dard-ear-pain-me-gharelu-nuskhe/,
काश,http://52.66.50.41/2018/07/23/kash/,
कासनी,http://52.66.50.41/2018/07/23/kasani/,
"किडनी /गॉलब्लेडर स्टॉन के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-kidney-stone/,
कुकुन्दर,http://52.66.50.41/2018/07/23/kukundar/,
कुटकी,http://52.66.50.41/2018/07/23/kutki/,
कुटज,http://52.66.50.41/2018/07/23/kutaj/,
"कुटजघन वटी",http://52.66.50.41/2018/07/26/kutaj-ghan-vati/,
कुठिञ्जर,http://52.66.50.41/2018/07/23/kuthijjar/,
कुरी,http://52.66.50.41/2018/07/25/kuri/,
कुलत्थ,http://52.66.50.41/2018/07/23/kulattha/,
कुश,http://52.66.50.41/2018/07/23/kush/,
"कूजा (जंगली गुलाब)",http://52.66.50.41/2018/07/23/kuja/,
"कूठ (कुष्ठ)",http://52.66.50.41/2018/07/23/kooth/,
कूष्माण्ड,http://52.66.50.41/2018/07/24/kushmaand/,
कृष्णबीज,http://52.66.50.41/2018/07/23/krishnabeej/,
कृष्णसारिवा,http://52.66.50.41/2018/07/25/krishnasariva/,
केमुक,http://52.66.50.41/2018/07/24/kemuk/,
"केवाँच (कपिकच्छू)",http://52.66.50.41/2018/07/24/kevanch/,
केशर,http://52.66.50.41/2018/07/23/kesar/,
"कैडर्य  (मीठी नीम)",http://52.66.50.41/2018/07/24/kaidarya/,
"कैंसर के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-cancer/,
कॉफी,http://52.66.50.41/2018/07/23/coffee/,
कोकिलाक्ष,http://52.66.50.41/2018/07/24/kokilaksha/,
कोद्रव,http://52.66.50.41/2018/07/24/kodrav/,
"क्षार वटी",http://52.66.50.41/2018/07/26/chhar-vati/,
"क्षीर चम्पा",http://52.66.50.41/2018/07/24/ksheer-champa/,
खदिर,http://52.66.50.41/2018/07/24/khadir/,
"खदिरादि वटी (मुखरोग)",http://52.66.50.41/2018/07/26/khadiradi-vati/,
खरबूज,http://52.66.50.41/2018/07/24/kharbooj/,
खर्जूर,http://52.66.50.41/2018/07/24/kharjoor/,
खर्जूरी,http://52.66.50.41/2018/07/24/kharjuri/,
खस,http://52.66.50.41/2018/07/24/khus/,
"खांसी (कफ) के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/khanshi-cough-ke-liye-gharule-nuskhe/,
खीरा,http://52.66.50.41/2018/07/24/kheera/,
खुबानी,http://52.66.50.41/2018/07/23/khubani/,
खेसारी,http://52.66.50.41/2018/07/24/khesari/,
"गंजापन के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-baldness/,
"गन्धक वटी (अग्निमाद्य)",http://52.66.50.41/2018/07/26/gandhak-vati/,
गन्ना,http://52.66.50.41/2018/07/24/sugar-cane/,
गंभारी,http://52.66.50.41/2018/07/24/gambhari/,
"गर्भणी की मासानुमासिक परिचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-pregnancy/,
"गला की खराश के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/ghale-ki-kharash-ke-liye-gharule-nuskhe/,
"गले के दर्द के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/gale-ke-dard-ke-liye-gharelu-nuskhe/,
"गले के संक्रमण (थ्रोट इंफेक्शन) के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/gale-ke-sankraman-throat-infection-ke-liye-gharule-nuskhe/,
"गवेधुका  (वैजन्ती)",http://52.66.50.41/2018/07/24/gavedhuka/,
गाजर,http://52.66.50.41/2018/07/24/carrot/,
गिलोय,http://52.66.50.41/2018/07/24/giloy/,
गुग्गुलु,http://52.66.50.41/2018/07/24/guggul/,
गुञ्जा,http://52.66.50.41/2018/07/24/gunja/,
गुड़हल,http://52.66.50.41/2018/07/24/gudhal/,
"गुर्दे की पथरी (किडनी स्टोन) के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/gurde-ki-pathri-kidney-stone-ke-liye-gharule-nuskhe/,
गुलदाऊदी,http://52.66.50.41/2018/07/24/guldaudi/,
गुलब्बास,http://52.66.50.41/2018/07/24/gulabbas/,
गुलमोहर,http://52.66.50.41/2018/07/24/gulmohar/,
गूलर,http://52.66.50.41/2018/07/24/gular/,
गृध्रनखी,http://52.66.50.41/2018/07/24/gridhranakhi/,
गेंदा,http://52.66.50.41/2018/07/24/genda/,
"गेहूं से एलर्जी (बच्चों  के लिए) आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-celiac-disease/,
"गैस के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/gas-ke-liye-gharule-nuskhe/,
"गोखरू छोटा",http://52.66.50.41/2018/07/24/gokhru/,
"गोखरू बड़ा",http://52.66.50.41/2018/07/24/gokhru-bada/,
"गोधूम (गेहूं)",http://52.66.50.41/2018/07/24/wheat/,
"गोपशिम्बी (ग्वारफली)",http://52.66.50.41/2018/07/24/gavarfali/,
गोभी,http://52.66.50.41/2018/07/24/gobhi/,
गोरक्ष,http://52.66.50.41/2018/07/24/goraksha/,
गोरक्षगंजा,http://52.66.50.41/2018/07/24/gorakshaganja/,
"गोरक्षी (गोरख इमली)",http://52.66.50.41/2018/07/24/gorakshi/,
गोरखमुण्डी,http://52.66.50.41/2018/07/25/gorakhmundi/,
ग्रन्थिपर्णी,http://52.66.50.41/2018/07/24/granthiparni/,
घृतकुमारी,http://52.66.50.41/2018/07/24/aloe-vera/,
"चणक (चना)",http://52.66.50.41/2018/07/24/chanak-chana/,
"चद्रप्रभा वटी (प्रमेह)",http://52.66.50.41/2018/07/26/chandraprabha-vati/,
चंद्रशूर,http://52.66.50.41/2018/07/24/chandrashur/,
चन्दन,http://52.66.50.41/2018/07/24/chandan/,
चमेली,http://52.66.50.41/2018/07/24/chameli/,
चम्पा,http://52.66.50.41/2018/07/24/champa/,
चव्य,http://52.66.50.41/2018/07/24/chavya/,
चांगेरी,http://52.66.50.41/2018/07/24/chaangeri/,
चांदनी,http://52.66.50.41/2018/07/24/chandani/,
चाय,http://52.66.50.41/2018/07/24/tea/,
"चावल (तण्डुल)",http://52.66.50.41/2018/07/24/rice/,
चिचिण्डा,http://52.66.50.41/2018/07/25/chichinda/,
चित्रक,http://52.66.50.41/2018/07/24/chitrak/,
"चित्रकादि वटी (ग्रहणी)",http://52.66.50.41/2018/07/26/chitrakadi-vati/,
"चिरबिल्व (चिलबिल)",http://52.66.50.41/2018/07/24/chilbil/,
चिरायता,http://52.66.50.41/2018/07/24/chirayta/,
चिरौंजी,http://52.66.50.41/2018/07/24/chirounji/,
चिल्ग़ोज़ा,http://52.66.50.41/2018/07/24/chilgoza/,
चीकू,http://52.66.50.41/2018/07/24/chiku/,
चीड़,http://52.66.50.41/2018/07/24/cheed/,
चुकन्दर,http://52.66.50.41/2018/07/24/chukandar/,
चुक्रिका,http://52.66.50.41/2018/07/24/chukrika/,
"चेचक (चिकनपॉक्स) के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/chechak-chickenpox-ke-liye-gharule-nuskhe/,
"चेहरे पर दाने (पिम्पल्स) के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/chehre-per-dane-pimples-ke-liye-gharule-nuskhe/,
चोपचीनी,http://52.66.50.41/2018/07/24/chopchini/,
चोरक,http://52.66.50.41/2018/07/24/chorak/,
"चौलाई (मरसा)",http://52.66.50.41/2018/07/24/choulai-marsa/,
छरीला,http://52.66.50.41/2018/07/25/chhareela/,
"छोटी अरणी",http://52.66.50.41/2018/07/24/choti-aradi/,
"जंगली प्याज",http://52.66.50.41/2018/07/24/jangali-pyaj/,
"जंगली बादाम",http://52.66.50.41/2018/07/25/jangli-badam/,
जटामांसी,http://52.66.50.41/2018/07/24/jatamansi/,
जयंती,http://52.66.50.41/2018/07/24/jayanti/,
"जल पिप्पली",http://52.66.50.41/2018/07/24/jal-pippali/,
जामुन,http://52.66.50.41/2018/07/24/jamun/,
जायफल,http://52.66.50.41/2018/07/24/jaifal/,
जीरा,http://52.66.50.41/2018/07/24/jeera/,
जीवन्ती,http://52.66.50.41/2018/07/24/jeewanti/,
"ज़ुकाम (कोल्ड) के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/jukam-cold-ke-liye-gharule-nuskhe/,
जूफा,http://52.66.50.41/2018/07/24/jufa/,
"जूर्ण (ज्वार)",http://52.66.50.41/2018/07/24/jwar/,
जूही,http://52.66.50.41/2018/07/24/juhi/,
जैतून,http://52.66.50.41/2018/07/24/jaitun/,
"जौ (यव)",http://52.66.50.41/2018/07/24/barley/,
ज्योतिष्मती,http://52.66.50.41/2018/07/25/jyotishmati/,
"ज्वर के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-fever/,
टमाटर,http://52.66.50.41/2018/07/24/tamatar/,
"टॉन्सिल के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/tonsil-ke-liye-gharule-nuskhe/,
"डायबिटीज (मधुमेह) के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/diabetes-madhumeh-ke-liye-gharule-nuskhe/,
"डिण्डिश (टिंडा)",http://52.66.50.41/2018/07/24/tinda/,
"डेंगू के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-dengue/,
"डैंड्रफ (रूसी) के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/%e0%a4%a1%e0%a5%88%e0%a4%82%e0%a4%a1%e0%a5%8d%e0%a4%b0%e0%a4%ab-%e0%a4%95%e0%a5%87-%e0%a4%b2%e0%a4%bf%e0%a4%8f-%e0%a4%98%e0%a4%b0%e0%a5%87%e0%a4%b2%e0%a5%81-%e0%a4%a8%e0%a5%81%e0%a4%b8%e0%a5%8d/,
तगर,http://52.66.50.41/2018/07/24/tagar/,
"तण्डुलीय (चौलाई)",http://52.66.50.41/2018/07/24/tanduleey-choulai/,
"तरबूज (कालिन्द)",http://52.66.50.41/2018/07/24/tarbuj/,
"तरुणी (गुलाब)",http://52.66.50.41/2018/07/24/gulab/,
ताड़,http://52.66.50.41/2018/07/24/taad/,
"ताम्रपर्ण (तंबाकू)",http://52.66.50.41/2018/07/24/tobacco/,
तालीसपत्र,http://52.66.50.41/2018/07/24/taleespatra/,
तिंदुक,http://52.66.50.41/2018/07/24/tinduk/,
"तिधारा सेंहुड",http://52.66.50.41/2018/07/24/tidhara-sehund/,
तिनिश,http://52.66.50.41/2018/07/24/tinish/,
तिन्तिडीक,http://52.66.50.41/2018/07/24/tintideek/,
तिल,http://52.66.50.41/2018/07/24/til/,
तीखुर,http://52.66.50.41/2018/07/24/teekhur/,
तुलसी,http://52.66.50.41/2018/07/24/tulsi/,
"तुलसी -बर्बरी",http://52.66.50.41/2018/07/24/tulsi-barbari/,
"तुवरक (चालमोगरा)",http://52.66.50.41/2018/07/24/tuvrak/,
तूत,http://52.66.50.41/2018/07/24/toot/,
तूतमलंगा,http://52.66.50.41/2018/07/24/tootmalanga/,
"तून (तूणी)",http://52.66.50.41/2018/07/24/toon/,
तेजपात,http://52.66.50.41/2018/07/24/tejpat/,
"तेजोवती (तुम्बरू)",http://52.66.50.41/2018/07/24/tejowati/,
तोदरी,http://52.66.50.41/2018/07/24/todari/,
तोरई,http://52.66.50.41/2018/07/24/torai/,
त्रिकोशकी,http://52.66.50.41/2018/07/25/trikoshki/,
"त्वक विकार के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-skin-disorder/,
"त्वचा की सुंदरता (फेयरनेस) के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/twacha-ki-sundarta-fairness-ke-liye-gharule-nuskhe/,
"त्वचा में निखार (ग्लोइंग स्कीन) के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/twacha-me-nichar-glowing-skin-ke-liye-gharule-nuskhe/,
"थायराइड (हाइपोथायरायडिज्म) के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/thyroid-hypothyroidism-ke-liye-gharule-nuskhe/,
दन्ती,http://52.66.50.41/2018/07/24/danti/,
दमनक,http://52.66.50.41/2018/07/24/damnak/,
दर्भ,http://52.66.50.41/2018/07/24/darbh/,
"दस्त (लूज मोशन) के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/dast-loose-motion-ke-liye-gharule-nuskhe/,
